,names,text
12,,"These cases show that our legal system, from the police investigation, prosecution, to sentencing, does not favour the rich and famous."
13,,The second core issue reflected in the case is: is the judicial system fair to the disadvantaged?
14,,"According to figures in the Ministerial Statement, in 2016, 245 foreign domestic workers were arrested for theft, about 0.1% of all domestic workers in Singapore. Of the 245 foreign domestic workers arrested by the police, 188, or nearly 80 per cent, were not charged. In 2016, there was even an employer who was sentenced to 7 weeks in prison for making false report by wrongly accusing his maid of stealing.  "
15,,"Therefore, I feel the claim that the vulnerable group is disadvantaged in the overall judicial system because of their limited resources, or that the system treats people differently based on their social status, does not hold water. "
16,,"Volunteers in Jurong told me a case that happened a few years ago. I was quite impressed. The resident involved was a former drug offender. He was caught by the police one day for possessing sleeping pills and was charged with possession of prohibited drugs. The fact is, however, he was depressed because his mother just passed away, and he went to see a doctor for his depression and got a legitimate prescription from the doctor. But the doctor happened to have retired and migrated overseas. He could not find the doctor to prove his innocence and was about to plead guilty. When the volunteers and Members of Parliament in Jurong learned about it, they assisted him to engage a lawyer, and called the doctor back as a witness. He was found innocent and justice prevailed."
17,,"Therefore, our judicial system as a whole is fair, just and equal. But this is a never-ending journey. In some ways, there is certainly room for improvement, but we should not overlook the overall fairness and equality of the system. One bamboo pole should not knock off everyone in the boat."
18,,"Justice and equality are the key words in our National Pledge, and also the basic principles of our judicial system. They are the foundation of our country, and are our original intentions of nation building. In other words, the boat, at the highest level, represents the systems in our country and society. It can also be said that justice and equality, as mentioned in the Motion, go above the political divide. They cannot be discussed along political lines, because they are core concepts that must be acknowledged by the whole Parliament."
19,,"Mr Speaker, after talking about the boat, let me talk about the people. There are many heroes and men of outstanding in the system. They perform their jobs dutifully and serve us, navigating the ship. So I hope to see more public recognition and support for our law enforcement and judicial officers regarding this case. As pointed out by the Minister in his statement, there were lapses on the police when handling the evidence this time. In fact, it has to do with manpower and workload. In other words, this is not a question of professional conduct. It is a matter of manpower and workload. To improve the system, we must first identify the root of the problem, beware of the daily challenges faced by law enforcement and judicial officers, and assist them in their tasks as far as possible. "
20,,"Mr Speaker, Sir, Justice Bao was famous for his impartiality and selflessness. In his famous Kaifeng Court, he also had four important officers to help him execute his work: Wang Chao, Ma Han, Zhang Long, Zhao Hu, and the resourceful Gongsun Ce and a capable guard Zhan Zhao. "
21,,"Take a look at our own “Kaifeng Court”. In our system, we also have many people like Gongsun Ce, Zhan Zhao, Wang Chao and Ma Han. They are our policemen, prosecutors, law enforcement and judicial officers. The more sensational a case is, the more we can see the conduct of some officers, and the more we should remain objective, and cheer for the integrity of our officers. "
22,,"Mr Speaker, Sir, in conclusion, our judicial system is sound. Otherwise, we will not be one of the safest countries in the world. However, there is always room for improvement. We can agree with that. Even the famous Justice Bao made some mistakes, as in the Bodyguard Liu Xiaoyuan case."
23,,"Whether it is a prince or an ordinary citizen, all are treated alike. It was under this spirit that Justice Bao upheld justice for the people. Similarly, our legal system also safeguards the safety and rights of all Singaporeans regardless of their status and wealth."
24,,"According to legends, when people wanted to seek redress from Justice Bao, they could stop him on the road, or drum up their grievances. But in our country, we have proper channels such as legal aid for civil cases and criminal cases, and the Yellow Ribbon Project to help former convicts to reintegrate into society. "
25,,"After this case, I am sure the authorities will learn from this painful experience and draw lessons from it. With a solid foundation in the judicial system, the authorities will strive for excellence to serve the country and the people better, and allow justice to prevail."
26,Mr Vikram Nair (Sembawang),"Mr Vikram Nair (Sembawang): Mr Speaker, while I do not agree with all the points made by my colleagues from the Workers' Party, I do support the spirit of the Motion. I agree that fairness, access and independence are cornerstones of Singapore's legal system and that the Government should continue its efforts to build a fair and just society. The legal system should not discriminate based on race, language, religion or economic status. I think these principles are universal."
27,,"These are, of course, not the only principles that one has to bear in mind when considering a criminal justice system. To these, I would add that the chief purposes of a criminal justice system are also to keep a country safe and keep the crime rate down. People should not live their lives in fear for personal safety or being victims of crime. A criminal justice system should have measures in place to prevent recidivism or re-committal of offences as well as processes in place to help reform those who are convicted.  "
28,,"The challenge in designing a criminal legal system, of course, is that one has to carefully evaluate the effects of any proposed changes on these different principles. Singapore's crime rate is one of the lowest in the world and this is despite the fact that we are sitting close to the ""golden triangle"" for the drug trade. Generally, anyone can go out late at night in most parts of Singapore without being worried about personal safety. Many people leave doors unlocked without worrying about break-ins. While many of us take this for granted, this personal safety we feel is really the result of a well controlled crime situation.  "
29,,"Our rate of recidivism is also low, especially for those whose crimes are not drug-related. Like many other countries, for those with drug-related crimes, there is a higher likelihood of recidivism and of committing other crimes. This is why keeping the drug situation under control is of vital importance and why we have always supported the toughest measures against drug traffickers.  "
30,,Our criminal justice system is also not one set in stone. It is one that has evolved over time. The only point in which I think I depart a little from my friends is I do not think you need a grand Constitutional Commission to reform criminal law. Constitutional Commissions are usually to change the Constitution and I do not see any proposals to change the Constitution specifically as yet.
31,,"But criminal law reform, I think, is part of the natural process of developing our system. I will give some examples of how the criminal law has evolved through the natural process of criminal law reforms."
32,,"Given the tough penalties we have for offences, I think it is important that accused persons must have a fair hearing process and they should not be unnecessarily detained. This too is a journey that has taken place over the years and more and more rights and liberties have been given to accused persons."
33,,"Some examples. In 2010, there was a major reform of the criminal law. The prosecution before this was not required to share details of the case or Police statements with the accused before the trial. This was because it was believed that if the accused was innocent, his story should be consistent at all times and if he tells a different story at the trial, the statement to the Police could be brought up to contradict his account. This was the reasoning for why the system was the way it was before that. "
34,,"However, from the lawyers' perspective, this appeared to be unfair because the defence counsel would be operating without knowing what the prosecution had up its sleeve and needed to get their clients to try and recount what had happened and what they had told the Police. Where there were inconsistencies that emerged at trial while the accused was being cross-examined, the defendant's lawyers would not be able to take instructions for the reasons for this and whether there was any other explanation for the inconsistency other than, of course, the accused lying.  "
35,,"The criminal disclosure requirements that were amended in 2010 required the prosecution to disclose a summary of their case, a list of exhibits the witnesses would rely on, including Police statements prior to the hearing. The defence would do likewise. There was an exchange of information. In this way, it was somewhat analogous to the process that have been in place for a long time for civil cases. As a final step, the prosecution would share the remaining Police statements of the accused and copies of documentary exhibits. This allowed both the prosecution and defence counsel to anticipate matters and better reduce the drama in Court. "
36,,"In 2018, following further amendments, the list of offences covered by these procedures were broadened to include offences under the Moneylenders Act and the Prevention of Corruption Act."
37,,"The 2010 reforms also provided for victim compensation because victims are also an important part of the criminal process. In the past, criminal law was largely about convicting those accused of crimes and victims were witnesses in the process. If they wanted personal relief, they may need to commence separate civil proceedings. "
38,,"The Courts always had a discretionary power to order compensation for victims but victims did not have a right to insist on this. The 2010 reforms required the Courts to consider victim compensation in all cases. Victims were empowered to take part. If the Court chose not to grant compensation, it had to give reasons for doing so. This mechanism gave victims a right of compensation, which would save them the cost and emotional energy of a second trial process if they were satisfied with the compensation.  "
39,,"Another feature of the 2010 reforms – and this goes to how our legal system looks at rehabilitation – is community-based sentences were expanded. Prior to this, accused persons had limited alternatives to prison like home detention and probation. In 2010, a wide range of alternatives was introduced, including short detention orders, day reporting orders, mandatory treatment orders, community service orders and community work orders. What this allowed is it gave the Courts a broader flexibility to give sentences that were more proportional for less serious or less culpable offenders. This too was enhanced by further reforms in 2018."
40,,A wide range of other reforms that have taken place over the years included safeguards for minors and victims of sexual offences and for accused persons in death penalty cases.
41,,"In 2018, another significant step was the introduction of video recording of interviews because what took place when police statements were recorded started becoming more contentious as these were challenged in trial. The video recording of interviews was also a helpful step in resolving these concerns because judges would also be able to observe the demeanour and behaviour of the accused. "
42,,"In 2013, the Appropriate Adult Scheme was piloted for suspects with autism spectrum disorder, mental health conditions and intellectual disabilities. This was for vulnerable accused persons or suspects. This scheme proved to be useful and was made permanent in 2015. In 2017, this was expanded to include all young suspects under the age of 16."
43,,These are all additional safeguards that have been put in place as our legal system evolves. This represents our commitment to ensuring that the legal system continues to be one that is fair and just. 
44,,"A second aspect of this that is of course important and it is access to justice. In the earlier speech, Minister K Shanmugam made clear that we have a very large number of accused persons. I think 66,000 was the number every year – I mean, people who are accused of crime. These are all in the reports. Clearly, it is not feasible for the state to fund immediate legal representation for everyone. However, for serious offences, I agree it is important for people to have proper representation. "
45,,"There are several schemes in place that do this already. The Supreme Court's Legal Assistance Scheme for Capital Offences, or LASCO, provides everyone accused of capital crimes with legal representation. There are of course a series of different aid schemes as well which I think the Minister mentioned. This includes the Law Society's Pro Bono Services, or LSPBS, the Criminal Legal Aid Scheme. All of these are basically cooperative schemes led by the bar but with the Government's support as well. "
46,,"If resources permit, and as was clear from the question I raised earlier, it would be helpful if more people are given access to legal counsel and possibly at an earlier stage. I do not have a straightforward answer to this because of the difficult question of how we are going to have adequate resources but I do support a public defender's office because this would at least institutionalise a group of lawyers who would be there to defend victims who need earlier access to lawyers."
47,,"If I were to look at many of these specific suggestions that my friends made, I think many of them are worth considering. "
48,,"If I were to look at many of the specific suggestions that my friends made, I think many of them are worth considering. The plight of the poor, improvements in the law enforcement agencies process and more justice for victims of crime. There are many good suggestions here which can be taken into account as we evolve the criminal justice system and as part of the normal review process."
49,,"To sum up, Speaker, I agree that fairness, access and independence should be cornerstones of Singapore's legal system and the Government should continue its efforts to build a fair and just society. I do not think the Government should ever rest on its laurels. I think principled and systemic reform should continue as it always has over the years."
50,,"I support the spirit of the Motion. I do not think we need a Constitutional Committee for this but, of course, this is early in the debate, so my mind is not closed. But I also think it is important for us to acknowledge the good work that has been done so far. I would like to record my thanks to everyone involved in keeping our criminal justice system working, including the Police, the Prosecutors, the defence counsels, the Courts, the Prison Services and the many organisations and volunteers working to assist the process of crime prevention, victim support and rehabilitation."
51,Mr Speaker,Mr Speaker: Mr Dennis Tan.
52,Mr Dennis Tan Lip Fong (Hougang),"Mr Dennis Tan Lip Fong (Hougang): Mr Speaker, Sir, before I start, I would like to declare that I am a lawyer in private practice."
53,,"Mr Speaker, Sir, the Chief Justice, in his speech, at the Opening of the Legal Year in 2020, suggested three principles ought to guide the redesign of our justice system."
54,,"The first of the principles he spoke of was the principle of accessibility which he said and I quote, ""should be understood in terms of closing the justice gap, which is a metaphor for the problem of unequal access to justice."""
55,,"He said that there are three dimensions to this justice gap. One, a physical gap, that is to say the physical distance between an individual and the institutions of justice. Two, a resources gap which deters the individual from seeking legal recourse due to concerns over cost. Three, a literacy gap which follows from lack of awareness about one's legal rights and remedies. He said that the justice system that seeks to minimise the level of injustice in society must necessarily be interested in closing each of these gaps, thereby enhancing and equalising access to justice."
56,,"The issue of resources gap has been much talk about and is a continuing work in progress. Despite recent Government efforts to increase access for civil legal aid to the Legal Aid Bureau, many still do not qualify despite the exemplary efforts of many volunteer lawyers under the CLAS scheme and the Law Society pro bono schemes. Beyond the rendering of pro bono advice, many still cannot find someone to represent them in legal proceedings on pro bono basis or the quoted fees of other lawyers may be unaffordable. My colleague the hon Ms He Ting Ru has already touched on this point too."
57,,"The Chief Justice did not elaborate on the term physical gap. How an average Singaporean thinks of our Judges is important. He or she must of course be learned in law and also in the area of specialisation that he or she is known for. Beyond pure commercial law and particularly in areas like criminal and family law, the ability of Judges to understand and empathise with the different challenges faced by litigants of different socio-economic backgrounds is critical and can, in my view, bridge this physical gap."
58,,"For the next part next part of my speech, I will be talking about Judges selection and training in the State Courts."
59,,"The hon High Court Judge reviewing Parti Liyani's appeal found that the trial Judge in the State Courts was wrong in applying the legal and evidential burdens of proof. The case generated much attention. While in the interest of justice, it was right and good that the High Court has allowed the appeal in favour of Ms Parti Liyani. We cannot always merely rely on appeals to High Court, righting a wrong done in the Lower Court."
60,,"To this end, we should strive for even higher standards in all our Courts and, in particular, in the context of the State Court Judges and Magistrates as they are, after all, critical gatekeepers of justice. They need to be carefully chosen, have a strong and right sense of mission and have the training and disposition to carry the torch of justice for those whose lives have been entrusted to them."
61,,"On the issue of selection, the issue of age and maturity of our judicial officers in the State Courts, has been raised in this House on at least two occasions."
62,,"In 2010, during the debate for the Subordinate Courts (Amendment) Bill, my colleague the hon Ms Sylvia Lim, had asked that then Senior Minister of State of Law Assoc Prof Ho Peng Kee, about requirement that in order for a person to be appointed as a Magistrate, one need only have held a relevant law degree for one year. At that time, the powers of Magistrate, including power sentencing has already increased over the years. Assoc Prof Ho Peng Kee had, some years before, expressed similar concern about whether young Deputy Registrar and Magistrate could be able to dispense justice and apply the law appropriately without, and I quote the former Senior Minister of State, ""The wisdom that comes from experience in dealing with matters of the world."" "
63,,"Having to defend the policy, in reply to the issues raised by Ms Sylvia Lim, Assoc Prof Ho Peng Kee sought to assure the House that despite the low minimum requirements, the practice was to appoint judicial officers who exceeded the minimum threshold of one year."
64,,"In a current version of section 10 of the State Courts Act, there is now the provision at section 10(2) requiring a Magistrate to be a qualified person for not less than three years. However a person can still be a point under section 10(3) if the Chief Justice deems that he is suitable for the appointment even though he has been qualified for between one and three years."
65,,"Notwithstanding previous assurances that past appointments have been made for persons who have exceeded the minimum threshold, is it now the time to review the minimum requirement of one or even three years under section 10? Would it be prudent now to stipulate higher minimum seniority requirements for judicial officers, especially those handling criminal cases as Magistrates and District Judges? Perhaps, to have someone more senior like eight to 10 years of post-qualification experience."
66,,"In my view, it is extremely important to convince the public that Judges understand the lives of ordinary people and people of different stratas of society. How should we work towards that? While I am not advocating that we re-introduce the system of jury here, we must understand why some countries continue to cling onto their jury systems – because it is of fundamental importance to them that decisions on life and liberty are made by juries, composed of members of the public from a cross-section of the population."
67,,"Mr Speaker, Sir, the issue of whether to have a separate dedicated Judicial Service in the State Courts have been raised in the past and more recently in wake of Ms Parti Liyani's case. Currently, the Legal Service Commission chooses legal officers will be posted from the Ministries or the AGC into the State Court Judiciary and then out again."
68,,"In 2014, the Prime Minister did announce the system of greater specialisation among legal officers so that at the middle ranks, officers can be posted either the legal or judicial branches and remain there for some years to hone their experience. While this is a positive move, it still leaves the more junior officers open to posting in and out judicial branch. The posting could also be to and from postings of DPP or Senior DPP."
69,,"The Law Minister share his views earlier with us on this issue during the Ministerial Statement. But I am still of the view that it may still be worthwhile for the proposed review that we are proposing to still consider this issue of whether we should have a more specialised or dedicated judicial track at the State Court level, encompassing Magistrates and District Judges, and discontinuing inter-services posting or rotation with other branches of the legal service, particularly with AGC. This may be preferable to the current system to provide more distance between Prosecutors and those working as Magistrates and Judges."
70,,"For example to avoid having AGC colleagues, some of them being more senior colleagues, arguing cases before them, knowing that they may well be posted back to AGC again in future. Up till now, judicial officers or AGC staff often regard themselves as working for the legal service. It is perhaps time to discard this nomenclature and have a dedicated judicial service set apart from the rest of the legal service. As the familiar administrative law saying goes, ""Justice must not only be done but must be seen to be done."""
71,,"When State Court judicial officers are subject to inter-services postings or rotation, I also wonder whether at the moment sufficient time is given for any judicial officer due to be posted to clear his or her cases without compromising the justice and interest of the parties involved. At the onset, when trial dates are fixed, frequently, it may be difficult to dictate the actual length of hearing days required. Many litigants may require more trial days as the cross-examination may take more time than expected. What happens when the posting is due soon and a trial may possibly not be completed in time? Can or does the judicial officers seek a delay in his or her posting, in the interests of the justice of the litigants of the case? If this can be done, the proceedings can still continue fairly for all parties without any pressure on time. Cross-examination does not need to be rushed."
72,,"Spending more time as a judicial officer, coupled with the right training which can be provided by institutions, such as the Singapore Judicial College, can help to mitigate against factors, such as lacking life experience or lacking sufficient understanding of people from different socio-economic stratas of our society as well as any unwitting misunderstanding or prejudices."
73,,"Talking about training of judicial officers, it is good to know that training is already being increasingly prioritised. The Singapore Judicial College is a development in the right direction. Set up five years ago, it is reassuring to see a unified training champion for the Supreme and the State Courts. It conducts various programmes, including induction programme for newly appointed Judges and judicial officers. In addition to the hard skills in law administration, there are courses focused on enhancing the experience of the public, such as effective engagement of litigants who are unrepresented."
74,,"I also note from its Annual Report that the Judicial College has embarked on forthcoming research on litigants-in-person and access to justice in an adversarial system, a topic which is of high importance."
75,,"That said, lawyers still observe lopsidedness in cases where the accused person is unrepresented. For example, at sentencing hearings, the Prosecutor could be arguing for a particular sentence and submit bundles of authorities for the Judges' consideration. The poor unrepresented accused person will not know how to react to the submission and frequently just ask for leniency. The unrepresented accused person has no clue what he should expect in respect of the sentence. He or she is likely to get, except maybe some gratuitous information fed to him by the IO. He cannot distinguish the authorities submitted by the Prosecutor and would not even be able to rebut the Prosecutor if there is any mistake in applying the authorities to the facts of the case. This common example exemplifies both the resources gap and the literacy gap which the Chief Justice has talked about."
76,,"While working on improving access, we should also consider how we can enhance the ability of our Judges to reduce the effect of disadvantages faced by such unrepresented accused persons in their experiences in Court. Many of the accused persons who are unrepresented comes from the poorer and less educated strata of our society. These people rely on our judicial officers to mete out decisions and sentences, which will not only be fair to them according to the alleged crimes they are charged for but also bear in mind the handicap they may suffer from not having representation at a time of hearing. To this end, research and training should also include checking against any inadvertent prejudice against the poor or less educated, if that is not already done."
77,,"It has also been pointed out in an article and titled ""Wrongful convictions in Singapore: A general survey of risk factors"", dated 2010 Singapore Law Review by Chen Siyuan and Eunice Chua, and this is reported in Singapore Law Reform Review 28 at pages 98 to 122, that there has been reported cases where Judges made wrong assumptions on witnesses' abilities to recall facts and should be trained accordingly. A local Singapore case involving a previous Chief Justice was, in fact sight, cited."
78,,"Indeed, I would exhort the Singapore Judicial College to continue to enhance its training for Judges in the State Courts in the areas I have talked about, which in my respectful view, will certainly help to reduce any physical gap, using the term as mentioned by the Chief Justice, and to further enhance our justice system."
79,,"Mr Speaker, Sir, the hon Ms Sylvia Lim has called for a Constitutional review by a Supreme Court Judge, and I humbly submit that that the suggestions in my speech should also be included in such a review to make our justice system even better. I support the Motion."
80,Mr Speaker,Mr Speaker: Mr Pritam Singh.
81,Mr Pritam Singh (Aljunied),"Mr Pritam Singh (Aljunied): Mr Speaker, I rise in support of the Motion. Sir, Singaporeans pledge to build a democratic society based on justice and equality. I believe Ms Parti Liyani's case has evoked such strong and widespread reactions because justice and equality are instinctive values that all Singaporeans believe in and cherish deeply."
82,,"Ms Sylvia Lim's Motion identifies fairness and independence as cornerstones of our criminal justice system. Where prosecutorial decisions and processes are concerned, justice demands fairness and independence both in reality and in perception. It is a trite saying in law that justice must not only be done, it must be seen to be done."
83,,I will speak on two topics today. One focuses on fairness and the other focuses on independence.
84,,"I will first speak on the Prosecution's duty of disclosure and propose that its common law disclosure obligations be codified in the Criminal Procedure Code or CPC. Thereafter, I will speak on the bifurcation of the Attorney-General's roles, so that they are held by two persons and not one."
85,,"First, the prosecution's duty of disclosure. Sir, the matter of non-disclosure by the prosecution of evidence that is favourable to the defence has been the subject of much judicial attention this year. Before getting to this year's cases, let me give some background."
86,,"This House passed amendments to the Criminal Procedure Code in 2010, which included formalisation of the criminal case disclosure conference procedure. Before that, there was no statutory framework for discovery in criminal matters in the State Courts. Prosecutors had overwhelming evidence in their hands compared to the defence. For example, on many occasions, a previously withheld statement of the accused would be sprung on the defence during trial to impeach the accused's credibility, forcing the defence to throw its litigation strategy out of the window."
87,,"After the framework for criminal discovery was enshrined into law, one Member of Parliament in this House said that this was akin to the criminal justice system ""moving out of the dark ages"". But I would say that we were still in some shadows as the CPC amendments did not require the prosecution to disclose material such as witnesses' statements that might help the defence."
88,,"This changed in 2011 with the Court of Appeal's judgment in Muhammad bin Kadar and another versus Public Prosecutor – hereinafter, referred to as Kadar – where the Court ruled that the prosecution must disclose to the defence any credible and relevant unused material that would be favourable to the defence's case. This was an excellent development making serious inroads into rebalancing the asymmetries of evidence between the prosecution and the defence."
89,,"However, what I wish to highlight from Kadar is this. In Court, the prosecution ran the argument that it should have an exclusive and unquestionable right to access evidence and unilaterally decide whether the material was credible and relevant based on its own bona fide exercise of subjective discretion. The Court rejected this argument, saying that such a procedure would provide an unacceptably low level of accountability."
90,,"In addition, the prosecution conceded that while it had an ethical duty to produce any witness before the Court including evidence inconsistent to its case, it argued that it had no legal duty to do so, citing a judicial precedent in Selvarajan James versus Public Prosecutor. In that case, the then-Chief Justice Yong Pung How ruled that it was not for the Court but for Parliament to impose disclosure requirements on the prosecution."
91,,"Mr Speaker, I have mentioned these arguments of the prosecution, so that this House and members of the public can appreciate one aspect of the evolution of Singapore's adversarial criminal justice system in the recent past. Even so, the starting point is one of tremendous asymmetries of information between the prosecution and the defence, with the system structurally weighted in favour of the former."
92,,"Almost 10 years after Kadar, it is apposite to ask how deeply the prosecution's common law disclosure obligations have been internalised in our criminal justice system. In Ms Parti Liyani's case, the lack of forthrightness of the DPPs in informing the trial court about the serviceability of the DVD player makes a similar point about fairness in our adversarial system. Crucially, however, it raises the public's eyebrows about our prosecutorial culture. That is all I will say about Ms Parti Liyani's case as her application against the DPPs and, specifically, their conduct in this matter, is pending."
93,,"With that background, let me move on to this year's cases on the prosecution's disclosure obligations. Tellingly, the year thus far has seen a number of judgments that, at first blush, reveal troubling aspects to the prosecution's approach to disclosing statements to the defence in spite of the almost decade-old Kadar judgment."
94,,"One significant case was Public Prosecutor versus Wee Teong Boo, hereinafter referred as Wee Teong Boo. In that case, the accused, a doctor, was convicted of outrage of modesty and sexual assault. He faced a total of 10 years' imprisonment. On appeal, he was acquitted. In its judgment released in June this year, the Court of Appeal ruled that the prosecution did not make available to the defence documents that would have established clear and material inconsistencies in the prosecution's evidence. The Court of Appeal decided that the delay in disclosing one document in particular, prejudiced Dr Wee, even as the prosecution ran the argument that that document was actually irrelevant to the case."
95,,"In Wee Teong Boo, the Court of Appeal restated the prosecution's obligation to disclose material, as this can assist the Court in determining the truth. The Court reminded the prosecution of its overarching duty of fairness, in addition to a duty to the Court and the public, to ensure that only the guilty are convicted. The Court referred to a 1916 English judgment, which referred to public prosecutors as ""ministers of justice"", even as the Court of Appeal confirmed that it is neither the prosecutor's duty to secure a conviction at all costs nor, quoting Kadar's case, to timorously discontinue proceedings the instance some weakness is found in the case."
96,,"Sir, I wish to stress that non-disclosure by the prosecution is not synonymous – it is not synonymous with suppression of evidence. But non-disclosure revelations in cases like Wee Teong Boo risk crystallising such a public perception. Furthermore, judicial decisions on failures of the prosecution to meet disclosure requirements can easily cause the public to lose trust in the Attorney-General's Chambers and by extension, the criminal justice system."
97,,"To that end, the Court of Appeal's decision in Muhammad Nabill bin Mohd Fuad versus Public Prosecutor, also released this year, has expanded the Kadar disclosure obligations even further. For example, Kadar did not require the release of statements that were neutral or adverse to the defence, but the Court in Nabill ruled that as the statements of material witnesses would in most cases be limited, and that all statements including those neutral or adverse to the defence should be released to the defence as a matter of routine. Nabill points to a clear recognition by the Court of Appeal of the central role of disclosure by the prosecution in a fair and just criminal justice system."
98,,"Yet another case was reported in the mainstream media only last week. In this on-going case, a defence lawyer argued that the conviction of an accused person ought to be ruled unsafe because the prosecution did not disclose material evidence. The Defence in this particular case had earlier filed a criminal motion in the High Court. At this hearing, the prosecution also accepted there had been a breach of its disclosure obligations under Kadar and Nabill, and that the trial judge had erred in concluding that a statement in question was not liable to be disclosed."
99,,These cases bring me to my suggestion to this House that the prosecution's disclosure obligations should be codified in the Criminal Procedure Code.
100,,"Mr Speaker, a question that stands out is that since there is case law, why would Parliament need to legislate the prosecution's disclosure obligations? The prosecution in its submissions in Nabill paradoxically makes the argument for legislation. Tellingly, in that case, the prosecution submitted that it may not, despite acting in good faith, fully appreciate the defence that the accused intends to run and, as such, the prosecution admitted that it might, and I quote, ""inadvertently fail to disclose statements which might tend to support the defence"". The Court of Appeal considered this position as, I quote, ""an intolerable outcome""."
101,,"Sir, I believe the prosecution made its point in earnest and the status quo is something for this House to contemplate upon deeply. In my view, Mr Speaker, it is precisely because of the very prospect of inadvertent non-disclosure that Parliament has to legislate forthwith to prevent possible future miscarriages of justice because of non-disclosure."
102,,"The inadvertent failure, and I stress, not failure, but inadvertent failure to disclose by the prosecution may be better appreciated if we remember the adversarial nature of our criminal justice system. Some defence counsel and deputy public prosecutors can be far more adversarial than others, and this structure reality and such human factors are potentially a barrier against more consistent standards of the prosecution's disclosure obligations."
103,,"Separately, the judgments in Kadar and Nabil require that the prosecution actively considers, on an on-going basis, its disclosure requirements. In view of the human factors alluded to earlier, can consistent standards of disclosure represent a reasonable expectation of the prosecution's obligations, as it would naturally be more substantively focused on its own case, especially during a trial?"
104,,"I make this point not to run down the prosecution or imply that they are likely to fall short in their disclosure obligations more often than not. But even so, Mr Speaker, a perhaps overly sanguine expectation of consistent disclosure standards combined with the reality of inadvertent non-disclosure, as admitted by prosecutors today, make it entirely plausible that we could see more future cases of non-disclosure that prejudice the defence, if a decisive legislative move is not made."
105,,"At minimum, an amendment to the CPC to codify the prosecution's disclosure requirements, as established in Kadar and Nabill, would send a powerful signal that prioritises proactive and early disclosure by the prosecution at the pre-trial stage when the case for the prosecution is filed. This would imbibe greater confidence into the criminal justice system by virtue of far fewer miscarriages of justice arising from non-disclosure."
106,,"Mr Speaker, I would like to advance this matter further with two suggestions. First, if the Ministry is minded to consider a legislative amendment to the CPC, it would be worthwhile to seek the inputs of the Criminal Bar and the Attorney-General's Chambers on the ambit of documents and other material that should be made available to the defence, in the interest of justice."
107,,"In 2010, the Minister argued against criminal disclosure by stating that disclosure of witness statements went against public policy considerations. Kadar and Nabill have changed this position. It would be worthwhile to review the extent of disclosure that would serve the ends of justice."
108,,"In my opinion, Sir, more disclosure in criminal matters cannot be a bad thing. It would allow the Court to have a fuller picture of the circumstances of an alleged crime, with all the relevant evidence marshalled and admitted before the Court from both sides before deciding whether to convict or acquit an accused. Such a regime could also contribute to a more efficient justice system with defence lawyers in a better position to advise on the prospects of success at trial. A decision by the defence to plead guilty early, for example, would save the prosecution time. More disclosure could also lower the prospect of cracked trials where the accused pleads guilty shortly after trial begins, but after significant time and resources have already been spent by the prosecution in trial preparation."
